,title,desc,site
0,85 new Covid-19 cases in Delhi; lowest single-day rise this year,The Capital also reported 158 new recoveries from Covid-19 along with nine more deaths due to it. The cumulative infection tally stands at 1433675 including ...,Hindustan Times
1,Foods that will help maximise the effect of Covid-19 vaccine,"""Besides including these food items, make sure to avoid eating processed foods and drink lots of water. If you experience any severe symptoms, contact your ...",The Indian Express
2,Coronavirus News Live Updates: Goa extends state-level curfew till July 5,"Coronavirus News Live Updates: Third wave of COVID-19 unlikely to be as severe as second wave, says study",Moneycontrol
3,31 policemen succumbed to Covid-19 during second wave in Tamil Nadu: Study,A study published in the Indian Journal of medical revealed that 31 police personnel died between April 13 and May 14 during the second wave of the ...,India Today
4,"Kerala records 12,118 fresh Covid-19 cases, 118 deaths in last 24 hours","Read more about Kerala records 12118 *fresh* Covid-19 cases, 118 deaths in last 24 hours on Business-standard. : Kerala's active cases touched 1,01102 on ...",Business Standard
5,Mumbai to remain under level-3 Covid-19 restrictions,"Level-three category restrictions related to Covid-19 will remain in place in Mumbai, the city's civic body has said | Mumbai news.",Hindustan Times
6,"India reports 48,698 new Covid-19 cases, 1,183 deaths in last 24 hours","India reported 48698 new Covid-19 cases and 1183 deaths in the last 24 hours, informed the Union Health Ministry on Saturday. On the other hand, 64818 ...",India Today
7,Third Covid-19 Wave Won't be As Severe As Second Wave: Study,Third Covid-19 Wave Won't be As Severe As Second Wave: Study,News18
8,Bangladesh announces countrywide lockdown to curb Covid-19 spread,"Bangladesh on Friday announced a strict countrywide shutdown until further notice to check the spread of Covid-19, as it reported 108 deaths from coronavirus, ...",India Today
9,"Sydney’s COVID-19 cases grow, more restrictions loom","Australia's New South Wales state reported 29 locally acquired COVID-19 cases on Saturday, with the authorities signalling more restrictions may be imposed ...",The Indian Express
10,Canada eases Covid-19 restrictions,Chief public health officer Dr Theresa Tam has said Canadians must remain “vigilant” despite increase in vaccinations and get fully covered. | World News.,Hindustan Times
11,Doubts about China's transparency on Covid-19 origins piling up: Report,"Jesse Bloom, a virologist and professor at the Fred Hutchinson Cancer Research Center in Seattle, discovered that early sequencing data of Covid-19 were ...",Hindustan Times
12,CoWin to allow users to link Covid-19 certificates to passports: How to do it,Users can also request for correction if the name in the updated vaccination certificate does not match the one on the passport. | Latest News India.,Hindustan Times
13,Israel reimposes indoor mask requirement as Covid-19 cases surge,"As Israel reported a surge in COVID-19 cases, the authorities have reimposed an indoor mask requirement, with a top health official warning the spread of the ...",Business Standard
14,"Copa America Covid-19 cases rise to 166 in Brazil, spread slows","Read more about Copa America Covid-19 cases rise to 166 in Brazil, spread slows on Business-standard. There were 166 known Covid-19 cases at the Copa ...",Business Standard
15,"Russia reports 21,665 new Covid-19 cases, 619 deaths","Europe News: Russia reported 21665 new Covid-19 cases on Saturday, including 8457 in Moscow, taking the official national tally since the pandemic began to ...",Times of India
16,"Covid third wave won't be as severe as second one, says top medical body","The third wave of Covid-19 pandemic will not be as severe as the second wave, stated Dr Samiran Panda, Head of Epidemiology at ICMR, adding that more ...",Mint
17,Need more data to approve combining 2 Covid-19 vaccines: Dr Randeep Guleria,AIIMS director Dr Randeep Guleria said mixing doses of two different vaccines might increase efficacy against Covid-19. | Latest News India.,Hindustan Times
18,Indonesia's doctors becoming patients after administration of China's Sinovac COVID-19 vaccine,"Facing increased COVID-19 infections and a deadly variant, Indonesia's doctors are at the centre of the crisis as many have died after being vaccinated by the ...",Economic Times
19,49 children among 232 new COVID-19 patients in Mizoram,"Mizoram's COVID-19 tally crossed the 19,000-mark on Saturday as 232 more people, including 49 children, tested positive for the infection, a health bulletin said ...",Economic Times
20,COVID-19: Johnson & Johnson\'s single-shot vaccine to be available in India by July,"Johnson & Johnson's single-shot vaccine will be priced at $25 (about Rs 1,850) in India",Business Today
21,"Centre to provide over 19 lakh Covid-19 vaccine doses to states, Union territories in next 3 days","India News: NEW DELHI: The Central government will provide more than 19,10650 Covid-19 vaccine doses to states and Union territories in the next three days, ...",Times of India
22,"Karnataka Covid-19 wrap: 3,310 cases, 114 deaths; Siddaramaiah alleges vaccines yet to reach rural areas","Karnataka on Friday reported 3,310 new cases of Covid-19 and 114 deaths, taking the caseload to 28,26,754 and the toll to 34,539, the health department said.",The Indian Express
